message_id,sensitivity_type,risk,masked_text,recommended_action,reason
MSG_0351,authentication_token,high,Quick update: The temporary access token is ******.,do_not_store,Message contains an authentication/access token.
MSG_0352,bank_or_payment_details,high,Can you help? Please note my bank account number ******.,do_not_store,Message contains a bank account number.
MSG_0367,bank_or_payment_details,high,"Hi, My card number is ******.",do_not_store,Message contains a payment card number.
MSG_0376,password,high,For today: Use password ****** to sign in to the test account.,do_not_store,Message contains an explicit login password.
MSG_0385,private_address,medium,My home address is ******.,ask_for_confirmation,Message contains a private home address.
MSG_0389,authentication_token,high,The temporary access token is ******.,do_not_store,Message contains an authentication/access token.
MSG_0397,bank_or_payment_details,high,Just checking—Please note my bank account number ******.,do_not_store,Message contains a bank account number.
MSG_0403,authentication_token,high,Quick update: My account recovery code is ******.,do_not_store,Message contains an account recovery code that can be used to bypass authentication.
MSG_0411,private_contact_detail,medium,Please note: You can contact me on ******.,ask_for_confirmation,Message contains a private phone number.
MSG_0416,health_information,medium,Please note: My recent test result says ******.,ask_for_confirmation,"Message contains a personal health/medical detail. Not explicitly listed in the assignment's sensitive-type examples, but treated as sensitive personal data (extended category, see README)."
MSG_0419,bank_or_payment_details,high,Quick update: My card number is ******.,do_not_store,Message contains a payment card number.
MSG_0436,authentication_token,high,For today: The temporary access token is ******.,do_not_store,Message contains an authentication/access token.
MSG_0471,password,high,FYI: Use password ****** to sign in to the test account.,do_not_store,Message contains an explicit login password.
MSG_0475,private_address,medium,Just checking—My home address is ******.,ask_for_confirmation,Message contains a private home address.
MSG_0494,health_information,medium,FYI: My recent test result says ******.,ask_for_confirmation,"Message contains a personal health/medical detail. Not explicitly listed in the assignment's sensitive-type examples, but treated as sensitive personal data (extended category, see README)."
MSG_0496,personal_identification_number,high,Quick update: My identification number is ******.,do_not_store,Message contains a personal identification number.
MSG_0507,health_information,medium,Important: My recent test result says ******.,ask_for_confirmation,"Message contains a personal health/medical detail. Not explicitly listed in the assignment's sensitive-type examples, but treated as sensitive personal data (extended category, see README)."
MSG_0532,private_address,medium,For today: My home address is ******.,ask_for_confirmation,Message contains a private home address.
MSG_0535,private_address,medium,Please note: My home address is ******.,ask_for_confirmation,Message contains a private home address.
MSG_0539,private_address,medium,FYI: My home address is ******.,ask_for_confirmation,Message contains a private home address.
MSG_0550,private_contact_detail,medium,One more thing: You can contact me on ******.,ask_for_confirmation,Message contains a private phone number.
MSG_0572,authentication_token,high,Can you help? The temporary access token is ******.,do_not_store,Message contains an authentication/access token.
MSG_0576,personal_identification_number,high,Important: My identification number is ******.,do_not_store,Message contains a personal identification number.
MSG_0581,health_information,medium,My recent test result says ******.,ask_for_confirmation,"Message contains a personal health/medical detail. Not explicitly listed in the assignment's sensitive-type examples, but treated as sensitive personal data (extended category, see README)."
MSG_0591,authentication_token,high,"Hi, The temporary access token is ******.",do_not_store,Message contains an authentication/access token.
MSG_0595,one_time_password,high,Can you help? Your OTP is ******. It expires in 10 minutes.,do_not_store,Message contains a one-time password (OTP) used for authentication.
MSG_0596,one_time_password,high,For today: Your OTP is ******. It expires in 10 minutes.,do_not_store,Message contains a one-time password (OTP) used for authentication.
MSG_0604,one_time_password,high,FYI: Your OTP is ******. It expires in 10 minutes.,do_not_store,Message contains a one-time password (OTP) used for authentication.
MSG_0610,bank_or_payment_details,high,Just checking—My card number is ******.,do_not_store,Message contains a payment card number.
MSG_0636,private_contact_detail,medium,Important: You can contact me on ******.,ask_for_confirmation,Message contains a private phone number.
MSG_0641,private_contact_detail,medium,Just checking—You can contact me on ******.,ask_for_confirmation,Message contains a private phone number.
MSG_0642,bank_or_payment_details,high,Important: Please note my bank account number ******.,do_not_store,Message contains a bank account number.
MSG_0649,bank_or_payment_details,high,Can you help? My card number is ******.,do_not_store,Message contains a payment card number.
MSG_0651,private_contact_detail,medium,For today: You can contact me on ******.,ask_for_confirmation,Message contains a private phone number.
MSG_0678,authentication_token,high,For today: My account recovery code is ******.,do_not_store,Message contains an account recovery code that can be used to bypass authentication.
MSG_0681,bank_or_payment_details,high,Important: My card number is ******.,do_not_store,Message contains a payment card number.
MSG_0684,bank_or_payment_details,high,For today: My card number is ******.,do_not_store,Message contains a payment card number.
MSG_0687,authentication_token,high,Important: The temporary access token is ******.,do_not_store,Message contains an authentication/access token.
MSG_0695,private_contact_detail,medium,FYI: You can contact me on ******.,ask_for_confirmation,Message contains a private phone number.
MSG_0715,authentication_token,high,FYI: The temporary access token is ******.,do_not_store,Message contains an authentication/access token.
MSG_0723,authentication_token,high,"Hi, My account recovery code is ******.",do_not_store,Message contains an account recovery code that can be used to bypass authentication.
MSG_0726,personal_identification_number,high,FYI: My identification number is ******.,do_not_store,Message contains a personal identification number.
MSG_0727,password,high,Just checking—Use password ****** to sign in to the test account.,do_not_store,Message contains an explicit login password.
MSG_0739,health_information,medium,"Hi, My recent test result says ******.",ask_for_confirmation,"Message contains a personal health/medical detail. Not explicitly listed in the assignment's sensitive-type examples, but treated as sensitive personal data (extended category, see README)."
MSG_0749,password,high,Important: Use password ****** to sign in to the test account.,do_not_store,Message contains an explicit login password.
MSG_0751,bank_or_payment_details,high,"Hi, Please note my bank account number ******.",do_not_store,Message contains a bank account number.
MSG_0752,bank_or_payment_details,high,Please note my bank account number ******.,do_not_store,Message contains a bank account number.
MSG_0753,authentication_token,high,Can you help? My account recovery code is ******.,do_not_store,Message contains an account recovery code that can be used to bypass authentication.
MSG_0763,personal_identification_number,high,Please note: My identification number is ******.,do_not_store,Message contains a personal identification number.
MSG_0772,health_information,medium,For today: My recent test result says ******.,ask_for_confirmation,"Message contains a personal health/medical detail. Not explicitly listed in the assignment's sensitive-type examples, but treated as sensitive personal data (extended category, see README)."
MSG_0777,password,high,One more thing: Use password ****** to sign in to the test account.,do_not_store,Message contains an explicit login password.
MSG_0778,authentication_token,high,One more thing: The temporary access token is ******.,do_not_store,Message contains an authentication/access token.
MSG_0791,one_time_password,high,Please note: Your OTP is ******. It expires in 10 minutes.,do_not_store,Message contains a one-time password (OTP) used for authentication.
MSG_0802,private_address,medium,One more thing: My home address is ******.,ask_for_confirmation,Message contains a private home address.
MSG_0803,bank_or_payment_details,high,Please note: My card number is ******.,do_not_store,Message contains a payment card number.
MSG_0804,private_contact_detail,medium,"Hi, You can contact me on ******.",ask_for_confirmation,Message contains a private phone number.
MSG_0812,bank_or_payment_details,high,My card number is ******.,do_not_store,Message contains a payment card number.
MSG_0813,bank_or_payment_details,high,FYI: My card number is ******.,do_not_store,Message contains a payment card number.
MSG_0834,one_time_password,high,Your OTP is ******. It expires in 10 minutes.,do_not_store,Message contains a one-time password (OTP) used for authentication.
MSG_0848,bank_or_payment_details,high,Quick update: Please note my bank account number ******.,do_not_store,Message contains a bank account number.
MSG_0854,one_time_password,high,"Hi, Your OTP is ******. It expires in 10 minutes.",do_not_store,Message contains a one-time password (OTP) used for authentication.
MSG_0880,one_time_password,high,Important: Your OTP is ******. It expires in 10 minutes.,do_not_store,Message contains a one-time password (OTP) used for authentication.
MSG_0890,bank_or_payment_details,high,One more thing: Please note my bank account number ******.,do_not_store,Message contains a bank account number.
