message_id,item_id,group_id,priority,reason,signals,confidence
MSG_0847,EVENT_003,GROUP_006,high,"The deadline has already passed; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",overdue; response_required; time_sensitive_meeting_category,0.73
MSG_0953,EVENT_003,GROUP_006,medium,The deadline is within a week.,deadline_within_a_week; response_required,0.67
MSG_0955,EVENT_003,GROUP_006,medium,The deadline is within a week.,deadline_within_a_week; response_required,0.67
MSG_0017,TASK_004,GROUP_007,medium,The deadline is within a week.,deadline_within_a_week; response_required,0.67
MSG_0063,TASK_004,GROUP_007,medium,The deadline is within a week.,deadline_within_a_week; response_required,0.67
MSG_0072,TASK_004,GROUP_007,medium,The deadline is within a week.,deadline_within_a_week; response_required,0.67
MSG_0083,TASK_004,GROUP_007,medium,The deadline is within a week.,deadline_within_a_week; response_required,0.67
MSG_0178,TASK_004,GROUP_007,medium,The deadline is within a week.,deadline_within_a_week; response_required,0.67
MSG_0232,TASK_004,GROUP_007,medium,The deadline is within 2 days.,deadline_within_2_days; response_required,0.67
MSG_0515,TASK_004,GROUP_007,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0553,TASK_004,GROUP_007,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0638,TASK_004,GROUP_007,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0740,TASK_004,GROUP_007,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0904,TASK_004,GROUP_007,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0917,TASK_004,GROUP_007,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0919,TASK_004,GROUP_007,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0920,TASK_004,GROUP_007,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0924,TASK_004,GROUP_007,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0975,TASK_004,GROUP_007,critical,The deadline is within 2 days; a message explicitly marked it urgent; a conflicting deadline was reported.,deadline_within_2_days; explicitly_marked_urgent; conflicting_deadline_reported; response_required,0.79
MSG_0986,TASK_004,GROUP_007,critical,The deadline is within 2 days; a message explicitly marked it urgent; a conflicting deadline was reported; the latest status is ambiguous.,deadline_within_2_days; explicitly_marked_urgent; conflicting_deadline_reported; status_unclear; response_required,0.7
MSG_0019,TASK_005,GROUP_008,medium,The deadline is within 2 days.,deadline_within_2_days; response_required,0.67
MSG_0111,TASK_005,GROUP_008,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0173,TASK_005,GROUP_008,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0175,TASK_005,GROUP_008,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0306,TASK_005,GROUP_008,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0425,TASK_005,GROUP_008,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0467,TASK_005,GROUP_008,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0537,TASK_005,GROUP_008,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0783,TASK_005,GROUP_008,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0883,TASK_005,GROUP_008,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0905,TASK_005,GROUP_008,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0925,TASK_005,GROUP_008,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0935,TASK_005,GROUP_008,low,"Item status is ""completed"" as of this message — no further action is needed.",status_completed,0.9
MSG_0973,TASK_005,GROUP_008,low,"Item status is ""completed"" as of this message — no further action is needed.",status_completed,0.9
MSG_0974,TASK_005,GROUP_008,low,"Item status is ""completed"" as of this message — no further action is needed.",status_completed,0.9
MSG_0998,TASK_005,GROUP_008,low,"Item status is ""completed"" as of this message — no further action is needed.",status_completed,0.9
MSG_1013,TASK_005,GROUP_008,low,"Item status is ""completed"" as of this message — no further action is needed.",status_completed,0.9
MSG_0023,EVENT_004,GROUP_009,medium,The deadline is within a week.,deadline_within_a_week; response_required,0.67
MSG_0129,EVENT_004,GROUP_009,high,"The deadline is today; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",deadline_today; response_required; time_sensitive_meeting_category,0.73
MSG_0209,EVENT_004,GROUP_009,high,"The deadline has already passed; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",overdue; response_required; time_sensitive_meeting_category,0.73
MSG_0458,EVENT_004,GROUP_009,high,"The deadline has already passed; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",overdue; response_required; time_sensitive_meeting_category,0.73
MSG_0484,EVENT_004,GROUP_009,high,"The deadline has already passed; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",overdue; response_required; time_sensitive_meeting_category,0.73
MSG_0584,EVENT_004,GROUP_009,high,"The deadline has already passed; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",overdue; response_required; time_sensitive_meeting_category,0.73
MSG_0631,EVENT_004,GROUP_009,high,"The deadline has already passed; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",overdue; response_required; time_sensitive_meeting_category,0.73
MSG_0744,EVENT_004,GROUP_009,high,"The deadline has already passed; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",overdue; response_required; time_sensitive_meeting_category,0.73
MSG_0822,EVENT_004,GROUP_009,high,"The deadline has already passed; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",overdue; response_required; time_sensitive_meeting_category,0.73
MSG_0871,EVENT_004,GROUP_009,high,"The deadline has already passed; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",overdue; response_required; time_sensitive_meeting_category,0.73
MSG_0954,EVENT_004,GROUP_009,medium,The deadline is within a week.,deadline_within_a_week; response_required,0.67
MSG_0027,TASK_006,GROUP_010,medium,The deadline is within a week.,deadline_within_a_week; response_required,0.67
MSG_0171,TASK_006,GROUP_010,high,The deadline is today.,deadline_today; response_required,0.67
MSG_0195,TASK_006,GROUP_010,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0220,TASK_006,GROUP_010,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0314,TASK_006,GROUP_010,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0335,TASK_006,GROUP_010,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0480,TASK_006,GROUP_010,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0527,TASK_006,GROUP_010,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0557,TASK_006,GROUP_010,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0617,TASK_006,GROUP_010,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0906,TASK_006,GROUP_010,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0926,TASK_006,GROUP_010,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0972,TASK_006,GROUP_010,critical,The deadline is today; a conflicting deadline was reported; the latest status is ambiguous.,deadline_today; conflicting_deadline_reported; status_unclear; response_required,0.64
MSG_0976,TASK_006,GROUP_010,high,The deadline is within a week; a conflicting deadline was reported; the latest status is ambiguous.,deadline_within_a_week; conflicting_deadline_reported; status_unclear; response_required,0.64
MSG_0982,TASK_006,GROUP_010,high,The deadline is within a week; a conflicting deadline was reported; the latest status is ambiguous.,deadline_within_a_week; conflicting_deadline_reported; status_unclear; response_required,0.64
MSG_1002,TASK_006,GROUP_010,critical,The deadline is within 2 days; a conflicting deadline was reported; the latest status is ambiguous.,deadline_within_2_days; conflicting_deadline_reported; status_unclear; response_required,0.64
MSG_0028,TASK_007,GROUP_011,medium,The deadline is within 2 days.,deadline_within_2_days; response_required,0.67
MSG_0065,TASK_007,GROUP_011,medium,The deadline is within 2 days.,deadline_within_2_days; response_required,0.67
MSG_0101,TASK_007,GROUP_011,medium,The deadline is within 2 days.,deadline_within_2_days; response_required,0.67
MSG_0309,TASK_007,GROUP_011,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0368,TASK_007,GROUP_011,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0394,TASK_007,GROUP_011,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0605,TASK_007,GROUP_011,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0799,TASK_007,GROUP_011,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0829,TASK_007,GROUP_011,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0862,TASK_007,GROUP_011,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0907,TASK_007,GROUP_011,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0918,TASK_007,GROUP_011,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0927,TASK_007,GROUP_011,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0933,TASK_007,GROUP_011,low,"Item status is ""completed"" as of this message — no further action is needed.",status_completed,0.9
MSG_1000,TASK_007,GROUP_011,low,"Item status is ""completed"" as of this message — no further action is needed.",status_completed,0.9
MSG_1015,TASK_007,GROUP_011,low,"Item status is ""completed"" as of this message — no further action is needed.",status_completed,0.9
MSG_0031,TASK_008,GROUP_012,medium,The deadline is within 2 days.,deadline_within_2_days; response_required,0.67
MSG_0038,TASK_008,GROUP_012,medium,The deadline is within 2 days.,deadline_within_2_days; response_required,0.67
MSG_0139,TASK_008,GROUP_012,high,The deadline is today.,deadline_today; response_required,0.67
MSG_0300,TASK_008,GROUP_012,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0412,TASK_008,GROUP_012,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0622,TASK_008,GROUP_012,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0656,TASK_008,GROUP_012,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0708,TASK_008,GROUP_012,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0736,TASK_008,GROUP_012,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0884,TASK_008,GROUP_012,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0908,TASK_008,GROUP_012,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0911,TASK_008,GROUP_012,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0928,TASK_008,GROUP_012,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0942,TASK_008,GROUP_012,low,"Item status is ""cancelled"" as of this message — no further action is needed.",status_cancelled,0.9
MSG_0996,TASK_008,GROUP_012,low,"Item status is ""cancelled"" as of this message — no further action is needed.",status_cancelled,0.9
MSG_1011,TASK_008,GROUP_012,low,"Item status is ""cancelled"" as of this message — no further action is needed.",status_cancelled,0.9
MSG_0032,TASK_009,GROUP_013,medium,The deadline is within a week.,deadline_within_a_week; response_required,0.67
MSG_0269,TASK_009,GROUP_013,medium,The deadline is within 2 days.,deadline_within_2_days; response_required,0.67
MSG_0345,TASK_009,GROUP_013,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0498,TASK_009,GROUP_013,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0554,TASK_009,GROUP_013,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0633,TASK_009,GROUP_013,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0640,TASK_009,GROUP_013,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0670,TASK_009,GROUP_013,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0688,TASK_009,GROUP_013,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0761,TASK_009,GROUP_013,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0909,TASK_009,GROUP_013,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0929,TASK_009,GROUP_013,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0991,TASK_009,GROUP_013,high,The deadline has already passed.,overdue; response_required,0.67
MSG_1006,TASK_009,GROUP_013,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0035,TASK_010,GROUP_014,low,The deadline is more than a week out.,deadline_more_than_a_week_out; response_required,0.67
MSG_0045,TASK_010,GROUP_014,low,The deadline is more than a week out.,deadline_more_than_a_week_out; response_required,0.67
MSG_0060,TASK_010,GROUP_014,low,The deadline is more than a week out.,deadline_more_than_a_week_out; response_required,0.67
MSG_0331,TASK_010,GROUP_014,medium,The deadline is within 2 days.,deadline_within_2_days; response_required,0.67
MSG_0398,TASK_010,GROUP_014,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0420,TASK_010,GROUP_014,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0546,TASK_010,GROUP_014,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0551,TASK_010,GROUP_014,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0585,TASK_010,GROUP_014,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0624,TASK_010,GROUP_014,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0910,TASK_010,GROUP_014,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0913,TASK_010,GROUP_014,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0916,TASK_010,GROUP_014,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0930,TASK_010,GROUP_014,high,The deadline has already passed.,overdue; response_required,0.67
MSG_1004,TASK_010,GROUP_014,high,The deadline has already passed.,overdue; response_required,0.67
MSG_0036,EVENT_006,GROUP_015,low,The deadline is more than a week out.,deadline_more_than_a_week_out; response_required,0.67
MSG_0162,EVENT_006,GROUP_015,low,The deadline is more than a week out.,deadline_more_than_a_week_out; response_required,0.67
MSG_0223,EVENT_006,GROUP_015,medium,The deadline is within a week.,deadline_within_a_week; response_required,0.67
MSG_0311,EVENT_006,GROUP_015,medium,The deadline is within a week.,deadline_within_a_week; response_required,0.67
MSG_0508,EVENT_006,GROUP_015,high,"The deadline has already passed; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",overdue; response_required; time_sensitive_meeting_category,0.73
MSG_0549,EVENT_006,GROUP_015,high,"The deadline has already passed; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",overdue; response_required; time_sensitive_meeting_category,0.73
MSG_0623,EVENT_006,GROUP_015,high,"The deadline has already passed; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",overdue; response_required; time_sensitive_meeting_category,0.73
MSG_0706,EVENT_006,GROUP_015,high,"The deadline has already passed; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",overdue; response_required; time_sensitive_meeting_category,0.73
MSG_0793,EVENT_006,GROUP_015,high,"The deadline has already passed; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",overdue; response_required; time_sensitive_meeting_category,0.73
MSG_0873,EVENT_006,GROUP_015,high,"The deadline has already passed; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",overdue; response_required; time_sensitive_meeting_category,0.73
MSG_0956,EVENT_006,GROUP_015,medium,The deadline is within a week.,deadline_within_a_week; response_required,0.67
MSG_0037,EVENT_007,GROUP_016,medium,No concrete deadline is known; the latest status is ambiguous.,deadline_unresolved_or_unknown; status_unclear; response_required,0.48
MSG_0054,EVENT_007,GROUP_016,medium,No concrete deadline is known; the latest status is ambiguous.,deadline_unresolved_or_unknown; status_unclear; response_required,0.48
MSG_0098,EVENT_007,GROUP_016,medium,No concrete deadline is known; the latest status is ambiguous.,deadline_unresolved_or_unknown; status_unclear; response_required,0.48
MSG_0213,EVENT_007,GROUP_016,medium,No concrete deadline is known; the latest status is ambiguous.,deadline_unresolved_or_unknown; status_unclear; response_required,0.48
MSG_0217,EVENT_007,GROUP_016,medium,No concrete deadline is known; the latest status is ambiguous.,deadline_unresolved_or_unknown; status_unclear; response_required,0.48
MSG_0462,EVENT_007,GROUP_016,medium,No concrete deadline is known; the latest status is ambiguous.,deadline_unresolved_or_unknown; status_unclear; response_required,0.48
MSG_0493,EVENT_007,GROUP_016,medium,No concrete deadline is known; the latest status is ambiguous.,deadline_unresolved_or_unknown; status_unclear; response_required,0.48
MSG_0635,EVENT_007,GROUP_016,medium,No concrete deadline is known; the latest status is ambiguous.,deadline_unresolved_or_unknown; status_unclear; response_required,0.48
MSG_0840,EVENT_007,GROUP_016,medium,No concrete deadline is known; the latest status is ambiguous.,deadline_unresolved_or_unknown; status_unclear; response_required,0.48
MSG_0886,EVENT_007,GROUP_016,medium,No concrete deadline is known; the latest status is ambiguous.,deadline_unresolved_or_unknown; status_unclear; response_required,0.48
MSG_0041,TASK_012,GROUP_017,medium,No concrete deadline is known; the latest status is ambiguous.,deadline_unresolved_or_unknown; status_unclear; response_required,0.48
MSG_0110,TASK_012,GROUP_017,medium,No concrete deadline is known; the latest status is ambiguous.,deadline_unresolved_or_unknown; status_unclear; response_required,0.48
MSG_0190,TASK_012,GROUP_017,medium,No concrete deadline is known; the latest status is ambiguous.,deadline_unresolved_or_unknown; status_unclear; response_required,0.48
MSG_0198,TASK_012,GROUP_017,medium,No concrete deadline is known; the latest status is ambiguous.,deadline_unresolved_or_unknown; status_unclear; response_required,0.48
MSG_0377,TASK_012,GROUP_017,medium,No concrete deadline is known; the latest status is ambiguous.,deadline_unresolved_or_unknown; status_unclear; response_required,0.48
MSG_0457,TASK_012,GROUP_017,medium,No concrete deadline is known; the latest status is ambiguous.,deadline_unresolved_or_unknown; status_unclear; response_required,0.48
MSG_0524,TASK_012,GROUP_017,medium,No concrete deadline is known; the latest status is ambiguous.,deadline_unresolved_or_unknown; status_unclear; response_required,0.48
MSG_0559,TASK_012,GROUP_017,medium,No concrete deadline is known; the latest status is ambiguous.,deadline_unresolved_or_unknown; status_unclear; response_required,0.48
MSG_0580,TASK_012,GROUP_017,medium,No concrete deadline is known; the latest status is ambiguous.,deadline_unresolved_or_unknown; status_unclear; response_required,0.48
MSG_0816,TASK_012,GROUP_017,medium,No concrete deadline is known; the latest status is ambiguous.,deadline_unresolved_or_unknown; status_unclear; response_required,0.48
MSG_0042,EVENT_008,GROUP_018,low,The deadline is more than a week out.,deadline_more_than_a_week_out; response_required,0.67
MSG_0055,EVENT_008,GROUP_018,low,The deadline is more than a week out.,deadline_more_than_a_week_out; response_required,0.67
MSG_0258,EVENT_008,GROUP_018,medium,The deadline is within a week.,deadline_within_a_week; response_required,0.67
MSG_0302,EVENT_008,GROUP_018,medium,The deadline is within a week.,deadline_within_a_week; response_required,0.67
MSG_0356,EVENT_008,GROUP_018,high,"The deadline is within 2 days; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",deadline_within_2_days; response_required; time_sensitive_meeting_category,0.73
MSG_0456,EVENT_008,GROUP_018,high,"The deadline has already passed; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",overdue; response_required; time_sensitive_meeting_category,0.73
MSG_0588,EVENT_008,GROUP_018,high,"The deadline has already passed; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",overdue; response_required; time_sensitive_meeting_category,0.73
MSG_0788,EVENT_008,GROUP_018,high,"The deadline has already passed; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",overdue; response_required; time_sensitive_meeting_category,0.73
MSG_0868,EVENT_008,GROUP_018,high,"The deadline has already passed; it is a scheduled meeting/event, not a task, so a missed slot can't be caught up on later.",overdue; response_required; time_sensitive_meeting_category,0.73
